oriX,oriY,oriZ,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,altitude,positionX,rwValue,batteryVoltage,systemState,cameraState,reactionWheelState,onTimeSec,flightTimeSec,pressure,imuTemp,baroTemp,GPSSats,latitude,longitude
0.00,65.13,24.67,-0.52,4.23,9.18,0.96,-1.79,0.51,11.39,-0.06,0.00,7.74,1,0,1,53.23,0,1011.98,40.1,43.2,12.00,44.5983,11.6554
0.00,64.79,24.99,-0.55,4.26,9.12,0.89,-1.77,0.52,12.25,-0.06,0.00,7.75,1,0,1,54.23,0,1011.89,40.2,43.3,12.00,44.5983,11.6554
0.00,65.05,24.71,-0.57,4.22,9.15,0.93,-1.75,0.44,11.76,-0.06,0.00,7.75,1,0,1,55.23,0,1011.94,40.3,43.5,12.00,44.5983,11.6554
0.00,65.56,24.25,-0.51,4.13,9.15,1.14,-1.91,0.49,12.33,-0.06,0.00,7.74,1,0,1,56.23,0,1011.88,40.5,43.6,12.00,44.5983,11.6554
0.00,65.34,24.49,-0.48,4.17,9.15,1.07,-2.03,0.54,12.26,-0.05,0.00,7.69,1,0,1,57.23,0,1011.89,40.5,43.6,12.00,44.5983,11.6554
0.00,65.01,24.77,-0.54,4.20,9.09,0.82,-1.79,0.52,12.99,-0.05,0.00,7.69,1,0,1,59.24,0,1011.81,40.7,43.8,12.00,44.5983,11.6554
0.00,65.16,24.61,-0.56,4.22,9.19,0.02,-1.86,0.47,12.67,-0.05,0.00,7.68,1,0,1,60.24,0,1011.85,40.8,43.9,12.00,44.5983,11.6554
0.00,65.26,24.50,-0.57,4.20,9.19,0.93,-1.94,0.52,12.92,-0.05,0.00,7.75,1,0,1,61.24,0,1011.82,40.8,43.9,11.00,44.5983,11.6554
0.00,65.10,24.67,-0.56,4.20,9.13,-0.30,-1.94,0.40,12.84,-0.05,0.00,7.74,1,0,1,62.25,0,1011.83,40.8,44.0,11.00,44.5983,11.6554
0.00,64.90,24.89,-0.55,4.25,9.15,0.73,-1.75,0.47,13.56,-0.04,0.00,7.68,1,0,1,63.25,0,1011.75,40.9,44.0,11.00,44.5983,11.6554
0.00,65.03,24.75,-0.54,4.23,9.15,0.75,-1.75,0.49,12.70,-0.04,0.00,7.72,1,0,1,64.25,0,1011.85,41.0,44.1,11.00,44.5983,11.6554
0.00,65.00,24.78,-0.54,4.22,9.12,1.33,-1.89,0.60,13.40,-0.04,0.00,7.70,1,0,1,66.25,0,1011.77,41.1,44.3,12.00,44.5983,11.6554
0.00,65.17,24.62,-0.54,4.18,9.10,0.47,-1.70,0.49,12.21,-0.03,0.00,7.67,1,0,1,69.26,0,1011.90,41.2,44.4,12.00,44.5983,11.6554
0.00,64.79,24.97,-0.57,4.28,9.17,0.88,-1.91,0.56,13.55,-0.03,0.00,7.68,1,0,1,70.26,0,1011.75,41.3,44.5,12.00,44.5983,11.6554
0.00,66.15,23.62,-0.55,4.06,9.27,-0.98,-1.73,0.42,13.52,-0.03,0.00,7.70,1,0,1,71.27,0,1011.76,41.4,44.6,12.00,44.5983,11.6554
0.00,65.20,24.57,-0.56,4.22,9.20,-0.25,-2.19,0.61,12.82,-0.03,0.00,7.70,1,0,1,72.27,0,1011.84,41.4,44.7,12.00,44.5983,11.6554
0.00,65.13,24.63,-0.57,4.22,9.18,1.63,-1.80,0.68,12.98,-0.03,0.00,7.67,1,0,1,73.27,0,1011.82,41.6,44.8,12.00,44.5983,11.6554
0.00,64.68,25.10,-0.55,4.29,9.15,-0.33,-1.59,0.40,13.32,-0.03,0.00,7.68,1,0,1,74.27,0,1011.78,41.6,44.8,12.00,44.5983,11.6554
0.00,65.35,24.46,-0.51,4.16,9.14,1.56,-1.70,0.61,13.27,-0.03,0.00,7.69,1,0,1,75.27,0,1011.79,41.7,44.9,12.00,44.5983,11.6554
0.00,64.48,25.35,-0.46,4.22,8.90,1.19,-1.75,0.17,12.67,-0.03,0.00,7.68,1,0,1,76.28,0,1011.85,41.7,44.9,12.00,44.5983,11.6554
